Solving testing_graphs/data_2_partite_tparisi.csv...
Graph #237/4000: True, time=0.000028s
Graph #238/4000: True, time=0.000025s
Graph #239/4000: False, time=0.000030s
Graph #240/4000: True, time=0.000032s
Graph #241/4000: True, time=0.000036s
Graph #242/4000: True, time=0.000034s
Graph #243/4000: True, time=0.000033s
Graph #244/4000: False, time=0.000041s
Graph #245/4000: False, time=0.000041s
Graph #246/4000: False, time=0.000040s
Graph #247/4000: True, time=0.000033s
Graph #248/4000: False, time=0.000033s
Graph #249/4000: False, time=0.000039s
Graph #250/4000: False, time=0.000038s
Graph #251/4000: True, time=0.000031s
Graph #252/4000: False, time=0.000040s
Graph #253/4000: False, time=0.000038s
Graph #254/4000: False, time=0.000039s
Graph #255/4000: False, time=0.000033s
Graph #256/4000: True, time=0.000033s
Graph #257/4000: False, time=0.000065s
Graph #258/4000: False, time=0.000052s
Graph #259/4000: True, time=0.000035s
Graph #260/4000: False, time=0.000042s
Graph #261/4000: False, time=0.000035s
Graph #262/4000: True, time=0.000030s
Graph #263/4000: True, time=0.000030s
Graph #264/4000: True, time=0.000029s
Graph #265/4000: False, time=0.000040s
Graph #266/4000: False, time=0.000036s
Graph #267/4000: False, time=0.000037s
Graph #268/4000: False, time=0.000037s
Graph #269/4000: False, time=0.000035s
Graph #270/4000: True, time=0.000029s
Graph #271/4000: False, time=0.000037s
Graph #272/4000: False, time=0.000038s
Graph #273/4000: True, time=0.000028s
Graph #274/4000: True, time=0.000031s
Graph #275/4000: True, time=0.000030s
Graph #276/4000: False, time=0.000036s
Graph #277/4000: False, time=0.000032s
Graph #278/4000: False, time=0.000036s
Graph #279/4000: False, time=0.000039s
Graph #280/4000: True, time=0.000032s
Graph #281/4000: False, time=0.000071s
Graph #282/4000: False, time=0.000056s
Graph #283/4000: True, time=0.000037s
Graph #284/4000: True, time=0.000036s
Graph #285/4000: True, time=0.000038s
Graph #286/4000: False, time=0.000043s
Graph #287/4000: False, time=0.000060s
Graph #288/4000: False, time=0.000060s
Graph #289/4000: False, time=0.000050s
Graph #290/4000: True, time=0.000038s
Graph #291/4000: False, time=0.000050s
Graph #292/4000: True, time=0.000043s
Graph #293/4000: False, time=0.000049s
Graph #294/4000: False, time=0.000044s
Graph #295/4000: False, time=0.000045s
Graph #296/4000: False, time=0.000047s
Graph #297/4000: False, time=0.000044s
Graph #298/4000: False, time=0.000048s
Graph #299/4000: True, time=0.000036s
Graph #300/4000: True, time=0.000041s
